0Sale_ID,age,price,pas,wtop,fixgear,tdrag,horse,fuel,ceiling,cruise
166,24,27500,6,1,1,0,5.564520407322694,4.23410650459726,9.680406499268875,5.093750200806762
167,23,30000,6,1,1,0,5.564520407322694,4.23410650459726,9.680406499268875,5.093750200806762
168,22,32000,6,1,1,0,5.564520407322694,4.51085950651685,9.61587214452889,5.087596335232384
169,37,15500,6,1,1,0,5.564520407322694,4.51085950651685,9.61587214452889,5.0689042022202315
170,35,16500,6,1,1,0,5.707110264748875,4.634728988229636,9.723223876851618,5.0689042022202315
171,33,17000,6,1,1,0,5.707110264748875,4.634728988229636,9.680406499268875,5.0689042022202315
172,32,18500,6,1,1,0,5.707110264748875,4.634728988229636,9.680406499268875,5.0689042022202315
173,30,20250,6,1,1,0,5.707110264748875,4.634728988229636,9.680406499268875,5.0689042022202315
174,28,21500,6,1,1,0,5.564520407322694,4.51085950651685,9.61587214452889,5.062595033026967
175,27,25000,6,1,1,0,5.564520407322694,4.51085950651685,9.61587214452889,5.062595033026967
176,25,29500,6,1,1,0,5.564520407322694,4.23410650459726,9.680406499268875,5.062595033026967
177,23,33500,6,1,1,0,5.707110264748875,4.634728988229636,9.680406499268875,5.017279836814924
178,20,44500,6,1,1,0,5.707110264748875,4.634728988229636,9.680406499268875,5.017279836814924
179,19,55000,6,1,1,0,5.707110264748875,4.634728988229636,9.680406499268875,5.017279836814924
180,18,65500,6,1,0,1,5.303304908059076,3.9318256327243257,9.546884034617925,5.003946305945459
181,15,74500,6,1,0,1,5.303304908059076,4.110873864173311,9.546884034617925,5.003946305945459
182,44,16000,6,1,0,1,5.303304908059076,4.110873864173311,9.546884034617925,5.003946305945459
183,42,18000,6,1,0,1,5.303304908059076,4.110873864173311,9.546884034617925,5.003946305945459
184,40,19500,6,1,0,1,5.303304908059076,4.110873864173311,9.546884034617925,5.003946305945459
185,38,20500,6,1,0,1,5.303304908059076,4.110873864173311,9.546884034617925,5.003946305945459
186,34,22500,6,1,0,1,5.303304908059076,4.110873864173311,9.546884034617925,5.003946305945459
187,31,24000,6,1,0,1,5.707110264748875,4.406719247264253,9.792611856190192,4.990432586778736
188,30,26000,6,1,0,1,5.707110264748875,4.406719247264253,9.792611856190192,4.990432586778736
189,26,30500,6,1,0,1,5.707110264748875,4.406719247264253,9.792611856190192,4.990432586778736
190,24,37000,6,1,0,1,5.564520407322694,4.406719247264253,9.792611856190192,4.983606621708336
191,20,51000,2,0,0,0,5.564520407322694,4.406719247264253,9.792611856190192,4.983606621708336
192,19,59500,2,0,0,0,5.564520407322694,4.406719247264253,9.792611856190192,4.983606621708336
193,18,65500,2,0,0,0,5.707110264748875,4.406719247264253,9.792611856190192,4.983606621708336
194,17,71500,2,0,0,0,5.707110264748875,4.406719247264253,9.792611856190192,4.983606621708336
195,16,80000,2,0,0,0,5.707110264748875,4.31748811353631,9.792611856190192,4.983606621708336
196,36,21500,2,0,0,0,5.707110264748875,4.31748811353631,9.792611856190192,4.983606621708336
197,38,19000,2,0,0,0,5.707110264748875,4.442651256490317,9.792611856190192,4.983606621708336
198,37,20500,2,0,0,0,5.303304908059076,3.9318256327243257,9.546884034617925,4.976733742420574
199,35,21500,2,0,0,0,5.198497031265826,4.51085950651685,9.61587214452889,4.941642422609304
200,34,23000,2,0,0,0,5.198497031265826,4.110873864173311,9.392745258631441,4.875197323201151
201,32,25000,2,0,0,0,5.198497031265826,4.110873864173311,9.392745258631441,4.875197323201151
202,30,28000,2,0,0,0,5.198497031265826,4.110873864173311,9.392745258631441,4.875197323201151
203,28,31000,2,0,0,0,5.198497031265826,4.110873864173311,9.392745258631441,4.875197323201151
204,25,34500,2,0,0,0,5.198497031265826,4.110873864173311,9.392745258631441,4.875197323201151
205,24,40000,4,0,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.836281906951478
206,22,48000,4,0,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.836281906951478
207,20,60000,4,0,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.836281906951478
208,16,254000,4,0,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.836281906951478
209,29,22500,4,0,0,0,5.442417710521793,4.394449154672439,9.15915233520675,4.836281906951478
210,28,23500,4,0,0,0,5.442417710521793,4.394449154672439,9.15915233520675,4.836281906951478
211,27,25000,4,0,0,0,5.198497031265826,4.110873864173311,9.392745258631441,4.8283137373023015
212,26,26500,4,0,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.8283137373023015
213,25,28500,4,0,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.8283137373023015
214,24,30500,4,0,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.8283137373023015
215,23,32500,4,0,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.8283137373023015
216,22,34500,4,0,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.8283137373023015
217,23,45500,4,0,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.8283137373023015
218,22,49500,4,0,0,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.8283137373023015
219,21,53500,4,0,0,0,5.442417710521793,4.532599493153256,9.15915233520675,4.8283137373023015
220,20,58500,4,0,0,0,5.442417710521793,4.532599493153256,9.15915233520675,4.8283137373023015
221,19,63500,4,0,0,0,5.442417710521793,4.532599493153256,9.15915233520675,4.8283137373023015
222,18,68000,4,0,0,0,5.442417710521793,4.532599493153256,9.15915233520675,4.8283137373023015
223,17,76000,4,0,0,0,5.442417710521793,4.442651256490317,9.15915233520675,4.820281565605037
224,21,58000,4,0,0,0,5.442417710521793,4.442651256490317,9.15915233520675,4.820281565605037
225,20,63500,4,0,0,0,5.442417710521793,4.442651256490317,9.15915233520675,4.820281565605037
226,19,69000,4,0,0,0,5.442417710521793,4.442651256490317,9.15915233520675,4.820281565605037
227,18,76000,4,0,0,0,5.442417710521793,4.442651256490317,9.15915233520675,4.820281565605037
228,17,85000,4,0,0,0,5.081404364984463,4.007333185232471,9.392745258631441,4.812184355372417
229,36,21700,4,0,0,0,5.081404364984463,4.007333185232471,9.392745258631441,4.812184355372417
230,36,27000,4,0,0,0,5.081404364984463,4.007333185232471,9.392745258631441,4.812184355372417
231,35,29000,4,0,0,0,5.081404364984463,4.007333185232471,9.392745258631441,4.812184355372417
232,33,38000,6,0,1,0,5.081404364984463,4.007333185232471,9.392745258631441,4.812184355372417
233,29,42500,4,0,1,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.812184355372417
234,29,43000,4,0,1,0,5.198497031265826,3.8918202981106265,9.15915233520675,4.812184355372417
235,35,45000,4,0,1,0,5.442417710521793,4.442651256490317,9.15915233520675,4.804021044733257
236,23,34000,4,0,1,0,5.442417710521793,4.394449154672439,9.15915233520675,4.804021044733257
